internal_id,bartlett_id,common_name,genus,latitude,longitude,color_code
24,807385,Maple-Red,Acer,41.690877224,-73.897673032,009b04
49,807410,Pine-Eastern White,Pinus,41.690409055,-73.896401795,ffff00
51,807412,Douglas Fir,Pseudotsuga,41.690235472,-73.896582661,ffff00
53,807414,Oak-Pin,Quercus,41.689956557,-73.896384210,009b04
60,807421,Oak-Pin,Quercus,41.690365363,-73.897613138,009b04
71,807432,Styrax-Japanese Snowbell,Styrax,41.689633236,-73.896581060,009b04
77,807438,Maple-Amur,Acer,41.689016904,-73.896690113,009b04
82,807443,Maple-Sugar,Acer,41.688372147,-73.896493153,009b04
84,807445,Cherry-Sargent,Prunus,41.688505024,-73.896104238,009b04
85,807446,Cherry-Sargent,Prunus,41.688681382,-73.896168053,009b04
87,807448,Cherry-Sargent,Prunus,41.689336274,-73.896205765,009b04
92,807453,Maple-Sugar,Acer,41.688506465,-73.896993325,009b04
98,807459,Maple-Sugar,Acer,41.689055644,-73.897232030,009b04
118,807479,Maple-David's,Acer,41.688433576,-73.898142612,009b04
123,807484,Honeylocust-Thornless Common,Gleditsia,41.688824941,-73.897646739,009b04
135,807496,Maple-Three Flower,Acer,41.688552968,-73.898437762,009b04
142,807503,Magnolia-Star,Magnolia,41.688657537,-73.898506840,009b04
165,807860,Maple-Red,Acer,41.691146873,-73.898078994,009b04
189,807884,Hemlock-Canadian,Tsuga,41.691130578,-73.898374283,ffff00
197,807892,Maple-Amur,Acer,41.691432268,-73.898651485,009b04
202,807897,Maple-Sugar,Acer,41.691325997,-73.898815123,009b04
213,807908,Maple-Sugar,Acer,41.691457397,-73.899055672,009b04
248,807943,Maple-Amur,Acer,41.691637848,-73.899678095,009b04
252,807947,Maple-Amur,Acer,41.691698644,-73.899847957,009b04
263,807958,Yellowwood-American,Cladrastis,41.691426593,-73.899720275,009b04
266,807961,Spruce-Norway,Picea,41.691283209,-73.899532997,009b04
287,808790,Cedar-Deodar,Cedrus,41.691394931,-73.899914484,009b04
290,808793,Pine-Eastern White,Pinus,41.691304404,-73.899969166,ffff00
293,808796,Pine-Eastern White,Pinus,41.690959012,-73.899945862,009b04
332,808836,Pine-Eastern White,Pinus,41.690062413,-73.899578653,855b00
337,808841,Pine-Eastern White,Pinus,41.690071041,-73.899394517,ffff00
349,808853,Douglas Fir,Pseudotsuga,41.689736728,-73.899242986,ffff00
356,808860,Pine-Eastern White,Pinus,41.689433936,-73.899263367,009b04
364,808868,Pine-Eastern White,Pinus,41.689378425,-73.899148385,009b04
380,808884,Pine-Eastern White,Pinus,41.688933737,-73.899001899,009b04
381,808885,Pine-Eastern White,Pinus,41.688911056,-73.898954533,009b04
